country_name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,166,405,217,374,-4,"1,000",865,"1,997",794,"1,061","1,437","1,981",552,"5,537","3,787","1,209","6,284","4,868",890,-751,"8,036","7,717",(D),(D),"1,473","10,122","10,158","4,453","19,877","12,154","21,729","19,956","16,112","-5,346","8,404"
China,23,54,109,179,-108,120,167,100,30,40,74,556,"1,232",261,933,"1,250","1,497","1,947","1,817","1,912",875,"1,273","4,499","1,955","4,226","5,243","15,971","-7,512","5,420","-1,720","-1,223","7,397","8,429","7,391","9,474"
Hong Kong,283,421,411,69,786,371,412,465,352,474,"1,914","1,366","1,979",631,"1,690","3,759","1,880","4,447","4,922","4,787","1,226",-689,(D),"4,688","4,174","11,533",-325,"8,729","-21,124",136,"-2,300","6,370","4,990","3,657","1,505"
India,41,5,-9,38,39,44,-49,(D),(D),74,52,88,250,181,262,267,80,269,92,214,919,354,"1,138",721,"1,834","3,915","4,310","2,470","3,069","3,083","3,785","2,563","3,380","3,888","3,597"
Indonesia,"1,004",538,970,245,71,-292,-156,-65,691,413,806,475,"2,061",519,956,21,461,505,683,985,(D),(D),(D),(D),771,"2,925","1,750","1,000",315,"1,926","2,301",440,"2,062",-137,"1,005"
Japan,306,"1,078",-188,402,464,"1,223","1,114",299,984,-203,683,"1,625","1,867","2,336",-280,-339,"6,428","10,602","4,295","-4,731","8,711",867,"12,787","5,940","2,709","15,721","-1,656","11,138",917,"2,787",943,"6,227","-14,933","1,123","2,269"
"Korea, Republic of",-167,-95,151,66,88,182,152,332,330,209,-101,293,390,"1,051",752,681,631,"2,557","2,338","1,206","1,681","1,231","4,340","1,687","2,518",821,"2,157","3,200","2,745","3,277","1,838","2,493","3,374","2,577","2,350"
Malaysia,360,-82,-123,37,-107,-60,159,50,175,270,-129,377,553,"1,037","1,298",733,-470,-250,"1,787",17,-609,416,(D),"2,040",866,"2,062",819,847,"2,730",450,"1,230","2,496","1,619","1,310","-1,178"
New Zealand,87,-27,-41,46,37,77,123,162,"2,019",-267,392,-443,749,765,"1,142","1,530","-2,419",-107,-279,155,-398,-60,(D),446,814,67,-906,945,499,599,613,-595,-189,182,665
Philippines,-9,151,-34,-261,19,-46,1,49,177,(*),134,369,414,269,738,107,287,-255,480,970,-669,-22,555,-126,-165,"-2,274",19,-203,703,228,-63,-111,632,754,313
Singapore,42,139,225,-30,290,290,-191,165,620,"1,067","1,282","1,743","1,836",947,"2,760","3,697",261,"3,863","3,688","5,593",530,"5,446",(D),"3,206","8,035","14,003","8,572","4,880","15,501","12,500","15,763","20,329","25,219","22,334","17,432"
Taiwan,66,101,126,39,119,370,233,177,222,479,108,173,711,419,290,702,-647,"1,010",951,"1,027",634,859,(D),(D),"2,231","1,051","4,153",462,"1,435",-512,"1,227",32,553,647,750
Thailand,99,142,266,-36,2,184,-150,384,316,228,516,285,703,686,849,-16,424,"1,103",722,"1,286","1,433",-627,691,789,695,"1,198",-97,"1,094","2,643","1,181","1,041",-710,"1,499",299,"1,105"
Other,62,26,19,-7,-8,75,24,(D),(D),10,222,6,140,-296,188,130,18,271,63,257,(D),(D),(D),(D),"1,376","1,113","1,895",-869,165,-526,607,-298,"1,017",105,240
